count,time,ch1,ch2,ch3,ch4,s10_matched_angle,s8_matched_angle,main_distance,slove_distance
"[104.19560389599758, 30.65895118904234, 48, '17:58:49']",102911210,132046553,566985831,67573518,114.27,72.72000122070312
"[104.19560389599758, 30.65895118904234, 49, '17:58:50']",108996714,128745311,573338308,75561660,114.27,72.72000122070312
"[104.19560389599758, 30.65895118904234, 50, '17:58:52']",108996714,128745311,573338308,75561660,114.27,72.72000122070312
"[104.19560312492658, 30.658953547470734, 51, '17:58:53']",108422582,142237619,571140548,69261046,114.27,72.43199920654297
"[104.19560312492658, 30.658953547470734, 52, '17:58:54']",108422582,142237619,571140548,69261046,114.27,72.43199920654297
"[104.19560312492658, 30.658953547470734, 53, '17:58:55']",113273507,140285457,575003994,80081796,114.27,72.43199920654297
"[104.19560312492658, 30.658953547470734, 54, '17:58:56']",113273507,140285457,575003994,80081796,114.27,72.43199920654297
"[104.19560312492658, 30.658953547470734, 55, '17:58:58']",111808335,150348601,570399585,76927157,114.27,72.43199920654297
"[104.1956016084531, 30.658958185816825, 56, '17:58:59']",111808335,150348601,570399585,76927157,114.27,71.85600280761719
"[104.1956016084531, 30.658958185816825, 57, '17:59:00']",101667541,133522821,558831065,73097664,114.27,71.85600280761719
"[104.1956016084531, 30.658958185816825, 58, '17:59:01']",101667541,133522821,558831065,73097664,114.27,71.85600280761719
"[104.1956016084531, 30.658958185816825, 59, '17:59:02']",101100576,136244459,577687874,74065223,114.27,71.85600280761719
"[104.1956016084531, 30.658958185816825, 60, '17:59:04']",101100576,136244459,577687874,74065223,114.27,71.85600280761719
"[104.19559904324178, 30.658966031874158, 61, '17:59:05']",106602081,128839927,569522588,76250479,114.27,70.85199737548828
"[104.19559904324178, 30.658966031874158, 62, '17:59:06']",106602081,128839927,569522588,76250479,114.27,70.85199737548828
"[104.19561127583381, 30.658959170619205, 63, '17:59:07']",109614582,121148920,577336785,79357850,112.48,70.85199737548828
"[104.19561127583381, 30.658959170619205, 64, '17:59:08']",109614582,121148920,577336785,79357850,112.48,70.85199737548828
"[104.19561127583381, 30.658959170619205, 65, '17:59:10']",98516867,113460970,567642364,81156415,112.48,70.85199737548828
"[104.19561496854469, 30.658948860855865, 66, '17:59:11']",98516867,113460970,567642364,81156415,112.48,72.07599639892578
"[104.19560218367585, 30.658956426417653, 67, '17:59:12']",84638896,113305112,558279698,79644311,114.27,72.07599639892578
"[104.19560218367585, 30.658956426417653, 68, '17:59:13']",84638896,113305112,558279698,79644311,114.27,72.07599639892578
"[104.19561496854469, 30.658948860855865, 69, '17:59:14']",98549532,115160424,551782225,79839303,112.48,72.07599639892578
"[104.19561496854469, 30.658948860855865, 70, '17:59:16']",98549532,115160424,551782225,79839303,112.48,72.07599639892578
"[104.1956042848095, 30.658949999806723, 71, '17:59:17']",101453829,129019714,562332689,79901768,114.27,72.86399841308594
"[104.1956042848095, 30.658949999806723, 72, '17:59:18']",101453829,129019714,562332689,79901768,114.27,72.86399841308594
"[104.1956042848095, 30.658949999806723, 73, '17:59:19']",96563092,127997144,567415048,73947547,114.27,72.86399841308594
"[104.1956042848095, 30.658949999806723, 74, '17:59:20']",96563092,127997144,567415048,73947547,114.27,72.86399841308594
"[104.1956042848095, 30.658949999806723, 75, '17:59:22']",104280713,136449743,573507988,80265377,114.27,72.86399841308594
"[104.19560389599758, 30.65895118904234, 76, '17:59:23']",104280713,136449743,573507988,80265377,114.27,72.72000122070312
"[104.19560389599758, 30.65895118904234, 77, '17:59:24']",106449091,148437289,586880123,75980671,114.27,72.72000122070312
"[104.19560389599758, 30.65895118904234, 78, '17:59:25']",106449091,148437289,586880123,75980671,114.27,72.72000122070312
"[104.19560389599758, 30.65895118904234, 79, '17:59:26']",116662193,159182311,601129241,75190922,114.27,72.72000122070312
"[104.19560389599758, 30.65895118904234, 80, '17:59:28']",116662193,159182311,601129241,75190922,114.27,72.72000122070312
"[104.1956016084531, 30.658958185816825, 81, '17:59:29']",106614376,149109100,593820692,72095536,114.27,71.85600280761719
"[104.1956016084531, 30.658958185816825, 82, '17:59:30']",106614376,149109100,593820692,72095536,114.27,71.85600280761719
"[104.1956016084531, 30.658958185816825, 83, '17:59:31']",104941229,109578820,562018559,49808035,114.27,71.85600280761719
"[104.1956016084531, 30.658958185816825, 84, '17:59:32']",104941229,109578820,562018559,49808035,114.27,71.85600280761719
"[104.195614291336, 30.65895075157021, 85, '17:59:34']",120968204,114068130,524715498,66033847,112.48,71.85600280761719
"[104.19561254655044, 30.658955622876626, 86, '17:59:35']",120968204,114068130,524715498,66033847,112.48,71.27999877929688
"[104.19563672127447, 30.658941804218525, 87, '17:59:36']",120056340,100095420,438405222,88676375,109.33,71.27999877929688
"[104.19563672127447, 30.658941804218525, 88, '17:59:37']",120056340,100095420,438405222,88676375,109.33,71.27999877929688
"[104.19558040267974, 30.65897399682615, 89, '17:59:38']",103602424,134326255,397418496,84570836,117.38,71.27999877929688
"[104.19558040267974, 30.65897399682615, 90, '17:59:40']",103602424,134326255,397418496,84570836,117.38,71.27999877929688
"[104.19555310673228, 30.65898959962538, 91, '17:59:41']",56309322,156318021,381399512,80865551,122.29,71.27999877929688
"[104.19555310673228, 30.65898959962538, 92, '17:59:42']",56309322,156318021,381399512,80865551,122.29,71.27999877929688
"[104.19553587729925, 30.658999448244284, 93, '17:59:43']",44715835,149217806,329687075,101448967,125.79,71.27999877929688
"[104.19553587729925, 30.658999448244284, 94, '17:59:44']",44715835,149217806,329687075,101448967,125.79,71.27999877929688
"[104.19554626987633, 30.658993507681355, 95, '17:59:46']",66785678,117469392,299801318,112883005,123.64,71.27999877929688
"[104.19554626987633, 30.658993507681355, 96, '17:59:47']",66785678,117469392,299801318,112883005,123.64,71.27999877929688
"[104.19552571420706, 30.659005257629993, 97, '17:59:48']",27135435,88901738,182350016,80190935,128.01,71.27999877929688
"[104.19552571420706, 30.659005257629993, 98, '17:59:49']",27135435,88901738,182350016,80190935,128.01,71.27999877929688
"[104.19551201833383, 30.659013086409722, 99, '17:59:50']",53026931,115355156,215672287,122634297,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 100, '17:59:52']",53026931,115355156,215672287,122634297,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 101, '17:59:53']",54580474,127543177,227537629,131977423,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 102, '17:59:54']",54580474,127543177,227537629,131977423,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 103, '17:59:55']",59237943,131366664,231513928,135045258,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 104, '17:59:56']",59237943,131366664,231513928,135045258,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 105, '17:59:58']",56290886,132545802,217333260,128946219,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 106, '17:59:59']",56290886,132545802,217333260,128946219,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 107, '18:00:00']",60766327,126786120,220737604,126045610,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 108, '18:00:01']",60766327,126786120,220737604,126045610,131.19,71.27999877929688
"[104.1955079773237, 30.659015396315617, 109, '18:00:02']",59536421,121232754,222698132,122830113,132.17,71.27999877929688
"[104.1955079773237, 30.659015396315617, 110, '18:00:04']",59536421,121232754,222698132,122830113,132.17,71.27999877929688
"[104.19552327687137, 30.659006650849978, 111, '18:00:05']",77733093,103761296,237015883,132508316,128.56,71.27999877929688
"[104.19552327687137, 30.659006650849978, 112, '18:00:06']",77733093,103761296,237015883,132508316,128.56,71.27999877929688
"[104.19550445393224, 30.659017410342404, 113, '18:00:07']",48351275,96734763,184530078,118580179,133.04,71.27999877929688
"[104.19550445393224, 30.659017410342404, 114, '18:00:08']",48351275,96734763,184530078,118580179,133.04,71.27999877929688
"[104.19552442528106, 30.659005994400665, 115, '18:00:10']",48189510,83574851,165308329,108974673,128.3,71.27999877929688
"[104.19552442528106, 30.659005994400665, 116, '18:00:11']",48189510,83574851,165308329,108974673,128.3,71.27999877929688
"[104.19551201833383, 30.659013086409722, 117, '18:00:12']",61037013,137619040,263316557,162628612,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 118, '18:00:13']",61037013,137619040,263316557,162628612,131.19,71.27999877929688
"[104.19551784705283, 30.659009754620914, 119, '18:00:14']",56260905,150136193,251105548,150201158,129.81,71.27999877929688
"[104.19551784705283, 30.659009754620914, 120, '18:00:16']",56260905,150136193,251105548,150201158,129.81,71.27999877929688
"[104.19551201833383, 30.659013086409722, 121, '18:00:17']",66874647,157156403,279826712,167438621,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 122, '18:00:18']",66874647,157156403,279826712,167438621,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 123, '18:00:19']",47205583,108440192,201406799,132090688,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 124, '18:00:20']",47205583,108440192,201406799,132090688,131.19,71.27999877929688
"[104.19551201833383, 30.659013086409722, 125, '18:00:22']",45602939,106492192,201696797,133231287,131.19,71.27999877929688
"[104.19551200069355, 30.659013393042564, 126, '18:00:23']",45602939,106492192,201696797,133231287,131.19,71.20800018310547
"[104.19550141770996, 30.65901942330853, 127, '18:00:24']",44691695,105203241,196342999,132579506,133.8,71.20800018310547
"[104.19550141770996, 30.65901942330853, 128, '18:00:25']",44691695,105203241,196342999,132579506,133.8,71.20800018310547
"[104.19551200069355, 30.659013393042564, 129, '18:00:26']",44470282,106088312,200696951,131187180,131.19,71.20800018310547
"[104.19551200069355, 30.659013393042564, 130, '18:00:28']",44470282,106088312,200696951,131187180,131.19,71.20800018310547
"[104.19551366846626, 30.659014372751955, 131, '18:00:29']",38407082,109341002,201483777,139797865,130.76,70.74199676513672
"[104.19551366846626, 30.659014372751955, 132, '18:00:30']",38407082,109341002,201483777,139797865,130.76,70.74199676513672
"[104.19551366846626, 30.659014372751955, 133, '18:00:31']",43437662,110989965,212032510,139333786,130.76,70.74199676513672
"[104.19551366846626, 30.659014372751955, 134, '18:00:32']",43437662,110989965,212032510,139333786,130.76,70.74199676513672
"[104.19551366846626, 30.659014372751955, 135, '18:00:34']",41446264,112204591,206891123,141480898,130.76,70.74199676513672
"[104.19551384497117, 30.659011616771608, 136, '18:00:35']",41446264,112204591,206891123,141480898,130.76,71.38200378417969
"[104.19551384497117, 30.659011616771608, 137, '18:00:36']",44510627,118485188,214215801,143894788,130.76,71.38200378417969
"[104.19551384497117, 30.659011616771608, 138, '18:00:37']",44510627,118485188,214215801,143894788,130.76,71.38200378417969
"[104.19551384497117, 30.659011616771608, 139, '18:00:38']",37971010,100383508,185693570,130899171,130.76,71.38200378417969
"[104.19551384497117, 30.659011616771608, 140, '18:00:40']",37971010,100383508,185693570,130899171,130.76,71.38200378417969
"[104.195535305203, 30.658897633433963, 141, '18:00:41']",40229677,78607039,200456479,118087776,128.32,88.97599792480469
"[104.195535305203, 30.658897633433963, 142, '18:00:42']",40229677,78607039,200456479,118087776,128.32,88.97599792480469
"[104.19557435358846, 30.658854018772047, 143, '18:00:43']",44814136,80139155,232600572,86500499,123.06,88.97599792480469
"[104.19557435358846, 30.658854018772047, 144, '18:00:44']",44814136,80139155,232600572,86500499,123.06,88.97599792480469
"[104.19554605229865, 30.658885629584432, 145, '18:00:46']",33923608,128901027,268492599,90564273,126.74,88.97599792480469
"[104.19554658528764, 30.65888137953681, 146, '18:00:47']",33923608,128901027,268492599,90564273,126.74,89.44400024414062
"[104.19557463111379, 30.6588495379109, 147, '18:00:48']",65789894,135726295,347584545,110484733,123.14,89.44400024414062
"[104.19557463111379, 30.6588495379109, 148, '18:00:49']",65789894,135726295,347584545,110484733,123.14,89.44400024414062
"[104.19559461356363, 30.65882685098098, 149, '18:00:50']",67265203,136577874,420317886,131237493,120.93,89.44400024414062
"[104.19559461356363, 30.65882685098098, 150, '18:00:52']",67265203,136577874,420317886,131237493,120.93,89.44400024414062
"[104.19552647377708, 30.658908428489582, 151, '18:00:53']",56583663,161641584,436540316,134906383,129.69,88.84200286865234
"[104.19552647377708, 30.658908428489582, 152, '18:00:54']",56583663,161641584,436540316,134906383,129.69,88.84200286865234
"[104.19553690590311, 30.65889683085426, 153, '18:00:55']",53253098,161146089,424224075,140407254,128.06,88.84200286865234
"[104.19553690590311, 30.65889683085426, 154, '18:00:56']",53253098,161146089,424224075,140407254,128.06,88.84200286865234
"[104.19555982973418, 30.658871345902128, 155, '18:00:58']",60048765,166573218,432768160,139010853,124.84,88.84200286865234
"[104.19555993451843, 30.658870669047275, 156, '18:00:59']",60048765,166573218,432768160,139010853,124.84,88.91000366210938
"[104.19554339868193, 30.658889096039836, 157, '18:01:00']",62647448,154990315,415817478,135435335,127.11,88.91000366210938
"[104.19554339868193, 30.658889096039836, 158, '18:01:01']",62647448,154990315,415817478,135435335,127.11,88.91000366210938
"[104.19555003678101, 30.65888169876044, 159, '18:01:02']",62863852,159309313,428457191,134763136,126.17,88.91000366210938
"[104.19555003678101, 30.65888169876044, 160, '18:01:04']",62863852,159309313,428457191,134763136,126.17,88.91000366210938
"[104.19557405601316, 30.65885047740553, 161, '18:01:05']",68201696,146206489,417686086,132322239,123.2,89.41200256347656
