count,time,ch1,ch2,ch3,ch4,s10_matched_angle,s8_matched_angle,main_distance,slove_distance
"[104.19620589303044, 30.659355589294904, 173, '18:06:05']",118190220,172513923,83370646,25591049,39.67,30.937999725341797
"[104.19649196927669, 30.659386484993604, 174, '18:06:06']",118190220,172513923,83370646,25591049,39.67,33.07600021362305
"[104.19635392594566, 30.659352740325858, 175, '18:06:07']",147369390,215728857,79007514,31710566,40.75,33.07600021362305
"[104.19635392594566, 30.659352740325858, 176, '18:06:08']",147369390,215728857,79007514,31710566,40.75,33.07600021362305
"[104.19585600913712, 30.659231024650474, 177, '18:06:09']",123774635,274212905,81442608,40456903,51.58,33.07600021362305
"[104.19585600913712, 30.659231024650474, 178, '18:06:11']",123774635,274212905,81442608,40456903,51.58,33.07600021362305
"[104.19579485897597, 30.6592322148256, 179, '18:06:12']",92008766,279173406,78803200,46579008,52.72,31.375999450683594
"[104.19579485897597, 30.6592322148256, 180, '18:06:13']",92008766,279173406,78803200,46579008,52.72,31.375999450683594
"[104.1960008222137, 30.659290000869063, 181, '18:06:14']",106623428,234477146,84244621,37387890,43.92,31.375999450683594
"[104.1960008222137, 30.659290000869063, 182, '18:06:15']",106623428,234477146,84244621,37387890,43.92,31.375999450683594
"[104.19579697638311, 30.659232808895602, 183, '18:06:17']",118084799,298792668,77908873,45244645,52.57,31.375999450683594
"[104.19588946165703, 30.659218581036995, 184, '18:06:18']",118084799,298792668,77908873,45244645,52.57,34.891998291015625
"[104.1957488177447, 30.65918955695343, 185, '18:06:19']",51585673,327566770,74182610,60274685,62.04,34.891998291015625
"[104.1957488177447, 30.65918955695343, 186, '18:06:20']",51585673,327566770,74182610,60274685,62.04,34.891998291015625
"[104.19567417403329, 30.659174153049474, 187, '18:06:21']",113439283,372144075,265016472,87227970,72.03999999999999,34.891998291015625
"[104.19561014795113, 30.659160940260325, 188, '18:06:23']",113439283,372144075,265016472,87227970,86.96,34.891998291015625
"[104.19558017275983, 30.65917712970102, 189, '18:06:24']",122943389,295010560,365310169,116818548,91.52,30.3439998626709
"[104.19558017275983, 30.65917712970102, 190, '18:06:25']",122943389,295010560,365310169,116818548,91.52,30.3439998626709
"[104.19558313054016, 30.659178025137045, 191, '18:06:26']",127678357,300308679,365695537,112401428,90.27,30.3439998626709
"[104.19558313054016, 30.659178025137045, 192, '18:06:27']",127678357,300308679,365695537,112401428,90.27,30.3439998626709
"[104.19558501418481, 30.65917859539011, 193, '18:06:29']",120760480,304288307,337616952,97731159,89.49,30.3439998626709
"[104.19560388679757, 30.659157134067048, 194, '18:06:30']",120760480,304288307,337616952,97731159,89.49,35.36399841308594
"[104.19559209916024, 30.65915481731703, 195, '18:06:31']",97768996,213236157,359722044,113265890,93.36,35.36399841308594
"[104.19559209916024, 30.65915481731703, 196, '18:06:32']",97768996,213236157,359722044,113265890,93.36,35.36399841308594
"[104.19558382228396, 30.659153190574315, 197, '18:06:33']",106023175,233944617,413670440,102643884,96.29,35.36399841308594
"[104.19558382228396, 30.659153190574315, 198, '18:06:35']",106023175,233944617,413670440,102643884,96.29,35.36399841308594
"[104.1955850420432, 30.659153864002047, 199, '18:06:36']",101323362,228822692,392135229,92966902,95.75,35.2760009765625
"[104.1955850420432, 30.659153864002047, 200, '18:06:37']",101323362,228822692,392135229,92966902,95.75,35.2760009765625
"[104.1955850420432, 30.659153864002047, 201, '18:06:38']",105069714,236355634,403748080,94183503,95.75,35.2760009765625
"[104.1955850420432, 30.659153864002047, 202, '18:06:39']",105069714,236355634,403748080,94183503,95.75,35.2760009765625
"[104.19559544728234, 30.659155928092176, 203, '18:06:41']",110922026,231544679,392423799,98389435,92.12,35.2760009765625
"[104.19559650504898, 30.65915460948868, 204, '18:06:42']",110922026,231544679,392423799,98389435,92.12,35.571998596191406
"[104.19559650504898, 30.65915460948868, 205, '18:06:43']",112644660,230810042,398794621,105507435,92.12,35.571998596191406
"[104.19559650504898, 30.65915460948868, 206, '18:06:44']",112644660,230810042,398794621,105507435,92.12,35.571998596191406
"[104.195592569821, 30.659153853060097, 207, '18:06:45']",123413028,218834978,390694988,110699967,93.44,35.571998596191406
"[104.195592569821, 30.659153853060097, 208, '18:06:47']",123413028,218834978,390694988,110699967,93.44,35.571998596191406
"[104.19558525853913, 30.659163399141597, 209, '18:06:48']",126015762,227556312,398508513,110792036,93.44,33.36399841308594
"[104.19558525853913, 30.659163399141597, 210, '18:06:49']",126015762,227556312,398508513,110792036,93.44,33.36399841308594
"[104.19558878060116, 30.659164238723974, 211, '18:06:50']",112305533,239783789,405079045,106474686,92.12,33.36399841308594
"[104.19558878060116, 30.659164238723974, 212, '18:06:51']",112305533,239783789,405079045,106474686,92.12,33.36399841308594
"[104.19558095928863, 30.65916237429453, 213, '18:06:53']",127503336,240191643,418272658,106448937,95.1,33.36399841308594
"[104.19558301001904, 30.659159535125724, 214, '18:06:54']",127503336,240191643,418272658,106448937,95.1,34.03799819946289
"[104.19558745469601, 30.659160531697427, 215, '18:06:55']",123662701,235939346,404233393,107979958,93.44,34.03799819946289
"[104.1955834883679, 30.659165710391388, 216, '18:06:56']",123662701,235939346,404233393,107979958,93.44,32.81399917602539
"[104.1955834883679, 30.659165710391388, 217, '18:06:57']",120746927,233206449,400437385,106725104,93.44,32.81399917602539
"[104.19558899765687, 30.659158517108136, 218, '18:06:59']",120746927,233206449,400437385,106725104,93.44,34.50600051879883
"[104.19558709254358, 30.659153883004763, 219, '18:07:00']",120043506,230204396,391122561,98864356,95.1,35.354000091552734
"[104.19558709254358, 30.659153883004763, 220, '18:07:01']",120043506,230204396,391122561,98864356,95.1,35.354000091552734
"[104.19559469406109, 30.659156867051802, 221, '18:07:02']",115286093,241541819,404609806,104577906,92.12,35.06399917602539
"[104.19560187558375, 30.65914791462272, 222, '18:07:03']",115286093,241541819,404609806,104577906,92.12,37.04399871826172
"[104.19559764254132, 30.659147229789053, 223, '18:07:05']",121250614,233324429,385593869,97367264,93.44,37.04399871826172
"[104.19559703403476, 30.659148024294474, 224, '18:07:06']",121250614,233324429,385593869,97367264,93.44,36.869998931884766
"[104.19561541119678, 30.659131041235053, 225, '18:07:07']",115155722,229154193,375504537,97824606,92.12,40.529998779296875
"[104.19561541119678, 30.659131041235053, 226, '18:07:08']",115155722,229154193,375504537,97824606,92.12,40.529998779296875
"[104.19560051695285, 30.65913529735156, 227, '18:07:09']",113480312,226515223,384138194,98678772,95.1,39.439998626708984
"[104.19559972108405, 30.659136399205764, 228, '18:07:11']",113480312,226515223,384138194,98678772,95.1,39.20800018310547
"[104.19561013242205, 30.659137621713715, 229, '18:07:12']",113206539,227621136,383938892,101154065,92.12,39.20800018310547
"[104.19560925633283, 30.659138713839553, 230, '18:07:13']",113206539,227621136,383938892,101154065,92.12,38.98400115966797
"[104.19560755204816, 30.65913429129732, 231, '18:07:14']",111246250,219994504,373864068,99227482,93.44,39.779998779296875
"[104.19560755204816, 30.65913429129732, 232, '18:07:15']",111246250,219994504,373864068,99227482,93.44,39.779998779296875
"[104.19560778493549, 30.65912523506861, 233, '18:07:17']",108217811,211038566,391238075,112091662,95.1,41.5
"[104.19562375859601, 30.659103120060905, 234, '18:07:18']",108217811,211038566,391238075,112091662,95.1,45.667999267578125
"[104.19561747419078, 30.659103204879983, 235, '18:07:19']",138252201,276350474,549282405,139180064,96.51,45.667999267578125
"[104.19567820572126, 30.659014790896563, 236, '18:07:20']",138252201,276350474,549282405,139180064,96.51,58.540000915527344
"[104.19570480019223, 30.658978450442454, 237, '18:07:21']",282165783,591580136,1183485293,262809631,96.29,62.268001556396484
"[104.19570480019223, 30.658978450442454, 238, '18:07:23']",282165783,591580136,1183485293,262809631,96.29,62.268001556396484
"[104.19579712252178, 30.65895301769286, 239, '18:07:24']",267043468,2983894865,2357239984,176966024,88.15,61.481998443603516
